time,close,high,low,open,volumefrom,volumeto
1496620800,30.78,31.62,27.85,27.89,1365183.65,40548644.2
1496707200,30.07,31.19,28.32,30.78,1441633.22,42992959.08
1496793600,28.47,30.57,27.88,30.07,874974.15,25712956.1
1496880000,29.9,30.39,27.8,28.47,852555.85,24919274.36
1496966400,29.54,30.63,29.51,29.9,731241.68,21986499.42
1497052800,30.06,30.31,29.39,29.54,810634.63,24059480.26
1497139200,33.63,34.43,29.65,30.06,1650413.18,52704206.81
1497225600,28.98,33.7,27.09,33.63,1885099.56,55552187.1
1497312000,30.38,30.61,28.74,28.98,762018.85,22434912.48
1497398400,29.19,31.81,27.96,30.38,1375707.32,40744168.59
1497484800,29.29,29.79,25.45,29.19,1544855.21,42738176.25
1497571200,34.12,34.18,28.32,29.29,1710350.24,53638308.12
1497657600,45.8,47.7,34.12,34.12,5016967.39,204842940.54
1497744000,43.8,45.81,39.49,45.8,2478772.85,106024449.1
1497830400,47.37,50.14,42.45,43.8,2886672.05,134413488.82
1497916800,45.68,48.32,43.29,47.37,1491973.88,68659918.63
1498003200,44.5,46.75,42.85,45.68,1206561.46,53663961.39
1498089600,46.16,47.91,43.21,44.5,982111.44,44885019.4
1498176000,46,46.98,45.48,46.16,522043.52,24046249.47
1498262400,42.7,46.09,42.04,46,804547.36,35158428.47
1498348800,41.28,44.02,39.33,42.7,986926.56,40946994.36
1498435200,38.53,42.21,34.43,41.28,1779942.06,67058517.29
1498521600,40.24,40.24,34.19,38.53,1403159.72,51972842.18
1498608000,41.89,43.1,37.95,40.24,1169845.97,47463923.08
1498694400,40.13,41.94,39.45,41.89,638781.54,25918352.3
1498780800,39.48,41.22,39.29,40.13,521878.48,20906005.14
1498867200,38.08,39.7,37.12,39.48,520504.4,19837650.46
1498953600,41.26,41.65,36.87,38.08,682570.75,26758013.34
1499040000,45.34,47.56,40.36,41.26,1833533.57,82237199.37
1499126400,54.51,54.82,45.34,45.34,2676871.93,136045162.56
1499212800,52.92,56.58,49.11,54.51,1864947.31,97598572.29
1499299200,51.04,52.98,49.79,52.92,840271.42,42796216.44
1499385600,46.1,51.18,44.47,51.04,1745425.55,82111789.69
1499472000,51.22,52.11,44.33,46.1,1293429.49,62095488.7
1499558400,48.63,52.4,48.32,51.22,861130.65,43087563.54
1499644800,45,49.66,42.68,48.63,1438096.31,66471287.02
1499731200,43.98,46.69,41.84,45,1506683.17,66201265.45
1499817600,47.14,48.38,42.4,43.98,1314367.81,60143698.56
1499904000,45.69,47.66,44.07,47.14,740592.9,33745880.89
1499990400,42.46,45.96,39.96,45.69,1243452.92,53012174.19
1500076800,38.41,42.68,37.7,42.46,1402645.69,55602665.51
1500163200,40.7,41.81,35.49,38.41,1693715.76,65293460.2
1500249600,42.17,42.98,39.91,40.7,1442921.42,60156241.78
1500336000,43.35,44.84,40.74,42.17,1322076.05,57140834.57
1500422400,40.11,43.77,39.82,43.35,988347.66,41443140.56
1500508800,44.35,45.23,40.11,40.11,1420088.03,61701476.23
1500595200,45.2,47.31,43.99,44.35,1121739.77,51397779.3
1500681600,46.47,47.11,44.88,45.2,499635.51,22979927.34
1500768000,44.67,46.67,43.63,46.47,625908.97,28134127.54
1500854400,44.77,45.28,43.85,44.67,446798.44,20003120.61
1500940800,42.3,45.05,40.52,44.77,1002897.84,42446216.08
1501027200,42.03,43.09,40.47,42.3,591939.55,24636676.71
1501113600,41.89,42.41,40.89,42.03,487374.16,20292493.77
1501200000,40.43,42.19,40.17,41.89,616859.99,25261842.08
1501286400,41.07,41.4,38.55,40.43,544633.83,21624892.79
1501372800,40.61,42.05,39.82,41.07,363404.03,14790620.65
1501459200,42.38,43.57,38.45,40.61,893892.82,36896252.79
1501545600,43.16,43.93,41.11,42.38,932670.29,39690704.66
1501632000,41.92,43.19,41.66,43.16,474729.29,20133705.4
1501718400,42.75,43.18,41.8,41.92,329595.07,14029809.38
1501804800,43.31,43.77,42.41,42.75,377407.48,16242345.85
1501891200,46.24,47.23,43.21,43.31,880132.49,40240694.24
1501977600,45.56,46.88,45.16,46.24,447306.19,20509678.36
1502064000,46.11,46.7,45.21,45.56,432033.81,19821566.26
1502150400,49.13,49.93,45.69,46.11,806041.04,38124611.66
1502236800,47.78,50.2,46.9,49.13,745195.68,36171405.47
1502323200,46.97,48.68,46.97,47.78,392052.42,18788211.76
1502409600,47.11,47.62,46.63,46.97,448579.01,21086959.55
1502496000,46.27,47.77,46,47.11,556583.31,26154345.14
1502582400,45.49,47.43,44,46.27,766715.89,35331475.85
1502668800,45.7,46.56,45.15,45.49,426212.9,19459261.19
1502755200,43.17,45.8,41.78,45.7,780853.12,33786160.33
1502841600,43.97,44.94,42.1,43.17,509014.15,22142597.97
1502928000,43.83,44.74,43.13,43.97,425047.05,18733697.25
1503014400,46.74,47.92,43.23,43.83,888951.07,40574149.41
1503100800,45.19,46.89,43.39,46.74,457998.6,20514354.21
1503187200,45.81,47.39,44.07,45.19,384435.33,17689808.36
1503273600,48.09,48.94,45.27,45.81,640039.35,30030772.48
1503360000,46.4,48.1,44.85,48.09,611195.45,28209467.68
1503446400,53.44,55.43,46.05,46.4,1634534.74,83643726.31
1503532800,50.36,53.58,50.34,53.44,1089289.29,56389670.39
1503619200,51.09,52.3,49.78,50.36,605527.97,30861268.58
1503705600,51.58,52.13,50.09,51.09,433091.45,22089859.98
1503792000,61.08,64.49,51.37,51.58,2047430.31,121485913.49
1503878400,62.36,64.95,58.87,61.08,1318375.9,81891911.78
1503964800,63.76,64.2,61.17,62.36,930398.05,58218596.89
1504051200,65.97,66.57,61.86,63.76,829751.02,52584713.02
1504137600,73.03,74.59,65.12,65.97,1850032.75,129559211.64
1504224000,87.88,92.77,71.5,73.03,3815830.4,316464574.14
1504310400,79.18,93.67,73.29,87.88,3196898.62,260187395.34
1504396800,79.04,84.07,74.95,79.18,1569976.63,124890039.97
1504483200,68.89,79.06,62.97,79.04,2825457.07,197880261.54
1504569600,73.73,74.69,63.29,68.89,1992004.89,137991645.49
1504656000,81.44,82.17,73.69,73.73,1886517.57,147734449.3
1504742400,80.25,82.84,77.4,81.44,1211324.83,96855844.67
1504828800,73.19,82.2,68.42,80.25,2538937.55,187197024.21
1504915200,71.09,73.95,69,73.19,1077310.24,76615292
1505001600,67.08,71.11,63.33,71.09,1583298.28,105909535.34
1505088000,68.13,71.21,65.55,67.08,1079756.1,73656622.48
1505174400,65.89,71.97,64.72,68.13,1421854.09,97264307
1505260800,61.78,66.34,57.87,65.89,2300788.17,140918803.14
1505347200,45.2,62.66,44.9,61.78,3985897.67,205038177.61
1505433600,52,55.65,33.38,45.2,7263563.12,343835193.01
1505520000,52.1,57.34,50.54,52,2259867.99,120177655.47
1505606400,51,53.18,47.73,52.1,1436990.91,73060667.9
1505692800,56.16,57.49,50.98,51,2025289.72,111381221.66
1505779200,52.8,56.7,51.27,56.16,1657588.51,89515520.8
1505865600,51.56,54.37,51.07,52.8,879633.65,46361439.88
1505952000,46.46,52.48,45.11,51.56,2062267.22,100420510.01
1506038400,47.67,49.03,44.8,46.46,1642332.89,76916515.52
1506124800,49.29,50.01,46.38,47.67,924125.98,44793106.02
1506211200,47.5,49.4,47.18,49.29,616636.42,29589565.36
1506297600,52.27,53.16,47.47,47.5,1296904.9,66087743.34
1506384000,52.27,54.37,51.42,52.27,917656.12,48431172.1
1506470400,56.9,57.39,52.24,52.27,1367042.73,75024623.22
1506556800,54.91,57.16,54,56.9,1162968.87,64516773.54
1506643200,52.8,54.93,50.44,54.91,1219765.7,64227763.47
1506729600,55.41,55.91,52.75,52.8,670838.08,36860837.86
1506816000,54.8,55.55,53.58,55.41,558315.88,30401267.37
1506902400,53.29,54.97,52.93,54.8,567239.29,30684048.14
1506988800,52.15,53.54,51.34,53.29,589394.71,30707803.26
1507075200,51.22,52.98,50.53,52.15,600284.58,31053173.59
1507161600,51.64,51.87,50.17,51.22,520188.77,26593841.05
1507248000,52.08,52.75,51.34,51.64,415386.22,21668387.99
1507334400,52.57,52.9,51.61,52.08,365539.08,19001783.55
1507420800,53.3,54.79,52.32,52.57,678233.14,36217438.71
1507507200,50.08,53.44,48.12,53.3,1081756.15,54786620.31
1507593600,50.58,51.63,49.69,50.08,627881.58,31741909.99
1507680000,50.79,51.05,50.18,50.58,394320.41,19957142.12
1507766400,59.72,59.72,50.73,50.79,2193019.01,121666559.46
1507852800,59.05,60.76,55.11,59.72,2096690.25,122355541.45
1507939200,63.94,66.48,58.34,59.05,1773158.56,111286807.31
1508025600,65.57,69.95,62.08,63.94,2079801.1,136097133.07
1508112000,64.76,66.41,62.28,65.58,898220.74,57750104.01
1508198400,59.19,64.97,58.5,64.76,1016881.05,62123185.52
1508284800,60.55,61.89,53.05,59.19,1709310.65,98042683.55
1508371200,59.68,61.39,58.35,60.55,986953.9,59145290.66
1508457600,60.09,62.17,58.31,59.68,921517.73,55677469.84
1508544000,58.09,60.36,56.17,60.08,820490.72,47776832.14
1508630400,56.51,58.67,55.73,58.09,538797.55,30628993.59
1508716800,54.63,56.57,51.92,56.52,1171396.45,63386543.19
1508803200,55.56,58.98,52.35,54.63,1227190.77,69816687.74
1508889600,56.19,56.4,53.52,55.56,666770.87,36591936.46
1508976000,55.55,56.95,54.9,56.19,448359.29,25040264.66
1509062400,55.02,55.99,54.69,55.55,353161.94,19515585.36
1509148800,54.22,55.79,53.95,55.02,308611.81,16837184.69
1509235200,56.75,57.83,53.86,54.22,745887.06,41624090.91
1509321600,56.22,58.66,55.81,56.75,575177.06,32778628.05
1509408000,55.5,56.74,55.49,56.22,429393.98,24119437.14
1509494400,52.83,55.62,52.72,55.5,633540.44,34633306.9
1509580800,54.19,54.9,50.03,52.82,1316174.14,68822709.59
1509667200,55.98,56.13,53.79,54.19,808480.75,44375580.1
1509753600,54.83,56.12,54.62,55.98,431022.66,23813377.86
1509840000,54.6,55.45,54.43,54.84,415689.5,22789832.45
1509926400,54.5,55.79,53.43,54.6,655602.25,35930222.15
1510012800,60.52,63.49,54.47,54.5,1990453.25,117999766.44
1510099200,62.38,64.07,59.59,60.52,1929054.85,119045612.63
1510185600,64.15,66.9,61.59,62.38,1507681.54,96467373.94
1510272000,58.99,65.75,56.02,64.15,1845061.12,112277387.44
1510358400,62.14,63.77,58.64,59.07,1169795.97,71691165.51
1510444800,58.54,62.26,56.73,62.14,1527653.8,90545722.68
1510531200,61,61.84,58.07,58.53,1058638.68,63578216.42
1510617600,62.13,63.41,60.12,61,936563.06,57740143.26
1510704000,63.16,76.1,62.08,62.13,934924.43,62683272.43
1510790400,70.7,72.5,62.5,63.15,1640431.26,108893924.78
1510876800,67.36,71.29,65.33,70.7,1728098.47,117701637.06
1510963200,69.42,69.77,65.41,67.36,811385.44,54642292.94
1511049600,71.76,73.24,68.47,69.42,1103659.82,77870138.77
1511136000,72.38,73.16,70.9,71.76,979972.34,70492845.22
1511222400,69.91,72.85,68.09,72.38,1283528.9,90392116.91
1511308800,72.03,72.04,69.88,69.91,675949.97,48021169.53
1511395200,72.94,76.77,70.74,72.03,1452417.2,107737051.93
1511481600,77.54,77.61,72.34,72.97,1103526.27,82185081.57
1511568000,88.79,89.47,77.07,77.53,1908366.6,158025655.36
1511654400,86.24,88.77,83.73,88.77,927136.62,79938117.09
1511740800,90.99,93.11,86.12,86.2,1588524.41,142772956.71
1511827200,94.22,94.53,89.53,90.99,1209822.51,111647453.48
1511913600,85.41,103.03,78.12,94.22,2993509.96,283266729.01
1512000000,85.94,92.23,76.95,85.4,1893458.34,159892481.32
1512086400,99.15,100.22,81.11,85.94,2191137.08,201759858.57
1512172800,99.32,103.41,97.52,99.15,1419498.63,142658345.14
1512259200,100.7,106.77,96.87,99.32,1362821.76,138622765.31
1512345600,103.87,103.95,95.39,100.71,1070029.64,107176440.63
1512432000,100.49,103.91,100.37,103.86,910964.87,92720782.62
1512518400,98.97,103,95.11,100.49,1462459.21,146319763.02
1512604800,96,99.81,86.93,98.94,1731647.86,165747903.4
1512691200,125.24,136.4,93.37,95.99,4076572.6,473760093.71
1512777600,155.98,179.54,125.34,125.34,5632742.17,853646807.31
1512864000,147.84,156.72,130.39,155.98,2513708.41,361899241.26
1512950400,214.54,225.55,146.97,147.46,4325680.61,806672044.43
1513036800,328.52,401.76,210.36,214.53,5958977.43,1712426348.74
1513123200,305.27,347.8,276.12,327.96,3799072.43,1198402020.67
1513209600,279.81,314.78,268.12,305.03,2000999.92,584754476.6
1513296000,300.27,317.69,249.24,280.02,2872380.22,828163804.95
1513382400,302.04,311.18,285.56,299.98,1299384.74,389831717.68
1513468800,319.57,332.09,300.59,302.04,1599061.91,511044214.22
1513555200,357.51,364.34,300.88,319.57,1900832.44,626661390.18
1513641600,346.87,376.1,324.37,357.51,2310681.43,814023803.65
1513728000,304.81,346.73,286.54,346.73,2365656.66,752136890.57
1513814400,307.69,327.26,286.39,304.77,1381946.46,422642587.94
1513900800,262.09,309.11,158.96,307.69,4775833.04,1167484790.83
1513987200,284.11,312.71,256.31,262.15,1519044.69,433571769.1
1514073600,272.24,285.4,244.14,283.69,1190611.75,314928561.95
1514160000,268.21,283.46,262.39,272.24,569060,154893244.84
1514246400,279.49,283.86,267.58,268.03,687239.9,190763629.05
1514332800,264.07,285.32,252.87,279.47,812937.24,219103646.23
1514419200,249.86,265.65,224.07,264.07,1155310.98,281385850.91
1514505600,243.13,258.36,236.39,249.84,836578.77,207115905.19
1514592000,212.07,243.42,202.02,243.13,1218741.31,268737310.82
1514678400,226.52,235.4,207.95,212.07,841309.91,187138183.8
1514764800,224.34,232.26,216.42,226.52,516920.48,115831512.64
1514851200,251.81,260.53,224.28,224.34,1278275.25,314730425.65
1514937600,244.63,256.81,241.11,251.81,851666.05,211596420.85
1515024000,238.3,244.88,225.59,244.63,880942.78,206659684.03
1515110400,244.51,251.56,235,238.3,1073887.31,262545479.11
1515196800,278.92,305.21,243.56,244.51,1820160.48,511915657.4
1515283200,271.57,287.27,265.37,278.92,764130.75,212682356.33
1515369600,254.25,273.47,231.21,271.57,1056007.91,270377483.58
1515456000,246.04,258.59,237.98,254.24,733760.61,184228877.9
1515542400,249.1,249.31,230.66,246.02,859733.09,207658680.7
1515628800,226.53,252.89,217.85,249.11,1131662.93,262771223.33
1515715200,235.35,241.83,219.62,226.53,601578.96,140305335.34
1515801600,257.94,262.87,235.3,235.35,713207.86,176341211.15
1515888000,236.86,268.81,231.43,257.94,766737.16,189083699.89
1515974400,231.89,244.4,230.79,236.86,466142.48,110848991.11
1516060800,183.86,232.4,147.78,231.89,2444227.94,473245937.42
1516147200,188.21,204.56,136.45,183.7,2667358.04,458374670.48
1516233600,191.03,208.37,175.46,188.14,1421991.47,274884322.56
1516320000,192.27,201.25,185.78,191.03,689881.36,132586901.46
1516406400,210.68,214.72,192.26,192.27,651689.96,133356395.48
1516492800,190.73,210.81,182.88,210.68,611724.98,118925936.69
1516579200,179.42,194.34,165.42,190.72,795014.67,141918011.1
1516665600,177.92,186.11,164.76,179.42,678138.3,119223032.27
1516752000,180.59,184.7,172.42,177.91,482992.17,86367198.84
1516838400,178.97,184.69,175.21,180.59,408877.4,73767401.29
1516924800,175.65,182.15,165.76,178.93,487682.21,84960279.65
1517011200,180.71,182.92,173.88,175.65,380203.96,68085098.56
1517097600,193.23,194.48,180.29,180.71,435381.16,81443118.1
1517184000,180.45,193.42,177.37,193.23,403178.2,73715876.66
1517270400,165.38,180.61,159.77,180.45,749016.9,126940449.8
1517356800,162.93,166.86,156.37,165.36,573000.11,92416470.16
1517443200,141.37,165.71,127.75,162.93,1223518.75,177798590.66
